hgnc_symbol	ensembl_gene_id	chromosome_name	feature	included
ADAM22	ENSG00000008277	7	ADAM22|53616	TRUE
ADAM23	ENSG00000114948	2	ADAM23|8745	TRUE
ADAM28	ENSG00000042980	8	ADAM28|10863	TRUE
ADAM29	ENSG00000168594	4	ADAM29|11086	FALSE
ADAM2	ENSG00000104755	8	ADAM2|2515	FALSE
ADAM30	ENSG00000134249	1	ADAM30|11085	FALSE
ADAM32	ENSG00000197140	8	ADAM32|203102	FALSE
ADAM33	ENSG00000149451	20	ADAM33|80332	FALSE
ADAM3A	ENSG00000197475	8	ADAM3A|1587	FALSE
ADAM6	ENSG00000271968	14	ADAM6|8755	TRUE
ADAM7	ENSG00000069206	8	ADAM7|8756	FALSE
ADAM8	ENSG00000151651	10	ADAM8|101	FALSE
ADAM9	ENSG00000168615	8	ADAM9|8754	TRUE
ADAMDEC1	ENSG00000134028	8	ADAMDEC1|27299	FALSE
ADAMTS10	ENSG00000142303	19	ADAMTS10|81794	TRUE
ADAMTS12	ENSG00000151388	5	ADAMTS12|81792	FALSE
ADAMTS13	ENSG00000160323	9	ADAMTS13|11093	TRUE
ADAMTS14	ENSG00000138316	10	ADAMTS14|140766	FALSE
ADAMTS15	ENSG00000166106	11	ADAMTS15|170689	FALSE
ADAMTS16	ENSG00000145536	5	ADAMTS16|170690	FALSE
ADAMTS17	ENSG00000140470	15	ADAMTS17|170691	FALSE
ADAMTS18	ENSG00000140873	16	ADAMTS18|170692	FALSE
ADAMTS19	ENSG00000145808	5	ADAMTS19|171019	FALSE
ADAMTS1	ENSG00000154734	21	ADAMTS1|9510	TRUE
ADAMTS20	ENSG00000173157	12	ADAMTS20|80070	FALSE
ADAMTS2	ENSG00000087116	5	ADAMTS2|9509	FALSE
ADAMTS3	ENSG00000156140	4	ADAMTS3|9508	FALSE
ADAMTS4	ENSG00000158859	1	ADAMTS4|9507	TRUE
ADAMTS5	ENSG00000154736	21	ADAMTS5|11096	FALSE
ADAMTS6	ENSG00000049192	5	ADAMTS6|11174	TRUE
ADAMTS7	ENSG00000136378	15	ADAMTS7|11173	FALSE
ADAMTS8	ENSG00000134917	11	ADAMTS8|11095	FALSE
ADAMTS9	ENSG00000163638	3	ADAMTS9|56999	TRUE
ADAMTSL1	ENSG00000178031	9	ADAMTSL1|92949	FALSE
ADAMTSL2	ENSG00000197859	9	ADAMTSL2|9719	TRUE
ADAMTSL3	ENSG00000156218	15	ADAMTSL3|57188	FALSE
ADAMTSL4	ENSG00000143382	1	ADAMTSL4|54507	FALSE
ADAMTSL5	ENSG00000185761	19	ADAMTSL5|339366	FALSE
ADAP1	ENSG00000105963	7	ADAP1|11033	TRUE
ADAP2	ENSG00000184060	17	ADAP2|55803	TRUE
ADARB1	ENSG00000197381	21	ADARB1|104	TRUE
ADARB2	ENSG00000185736	10	ADARB2|105	TRUE
ADAR	ENSG00000160710	1	ADAR|103	FALSE
ADAT1	ENSG00000065457	16	ADAT1|23536	FALSE
ADAT2	ENSG00000189007	6	ADAT2|134637	FALSE
ADAT3	ENSG00000213638	19	ADAT3|113179	FALSE
ADA	ENSG00000196839	20	ADA|100	FALSE
ADCK1	ENSG00000063761	14	ADCK1|57143	TRUE
ADCK2	ENSG00000133597	7	ADCK2|90956	TRUE
ADCK4	ENSG00000123815	19	ADCK4|79934	TRUE
ADCK5	ENSG00000173137	8	ADCK5|203054	FALSE
ADCY10	ENSG00000143199	1	ADCY10|55811	FALSE
ADCY1	ENSG00000164742	7	ADCY1|107	TRUE
ADCY2	ENSG00000078295	5	ADCY2|108	TRUE
ADCY3	ENSG00000138031	2	ADCY3|109	TRUE
ADCY4	ENSG00000129467	14	ADCY4|196883	FALSE
ADCY5	ENSG00000173175	3	ADCY5|111	TRUE
ADCY6	ENSG00000174233	12	ADCY6|112	TRUE
ADCY7	ENSG00000121281	16	ADCY7|113	TRUE
ADCY8	ENSG00000155897	8	ADCY8|114	TRUE
ADCY9	ENSG00000162104	16	ADCY9|115	TRUE
ADCYAP1R1	ENSG00000078549	7	ADCYAP1R1|117	TRUE
ADCYAP1	ENSG00000141433	18	ADCYAP1|116	FALSE
AZIN2	ENSG00000142920	1	ADC|113451	TRUE
ADD1	ENSG00000087274	4	ADD1|118	FALSE
ADD2	ENSG00000075340	2	ADD2|119	TRUE
ADD3	ENSG00000148700	10	ADD3|120	TRUE
ADH1A	ENSG00000187758	4	ADH1A|124	FALSE
ADH1B	ENSG00000196616	4	ADH1B|125	FALSE
ADH1C	ENSG00000248144	4	ADH1C|126	FALSE
ADH4	ENSG00000198099	4	ADH4|127	FALSE
ADH5	ENSG00000197894	4	ADH5|128	TRUE
ADH6	ENSG00000172955	4	ADH6|130	FALSE
ADH7	ENSG00000196344	4	ADH7|131	FALSE
ADHFE1	ENSG00000147576	8	ADHFE1|137872	TRUE
ADI1	ENSG00000182551	2	ADI1|55256	TRUE
ADIG	ENSG00000182035	20	ADIG|149685	FALSE
ADIPOQ	ENSG00000181092	3	ADIPOQ|9370	FALSE
ADIPOR1	ENSG00000159346	1	ADIPOR1|51094	TRUE
ADIPOR2	ENSG00000006831	12	ADIPOR2|79602	TRUE
ADK	ENSG00000156110	10	ADK|132	TRUE
ADM2	ENSG00000128165	22	ADM2|79924	FALSE
ADM	ENSG00000148926	11	ADM|133	TRUE
ADNP2	ENSG00000101544	18	ADNP2|22850	TRUE
ADNP	ENSG00000101126	20	ADNP|23394	TRUE
ADORA1	ENSG00000163485	1	ADORA1|134	TRUE
ADORA2A	ENSG00000128271	22	ADORA2A|135	FALSE
ADORA2B	ENSG00000170425	17	ADORA2B|136	FALSE
ADORA3	ENSG00000282608	1	ADORA3|140	TRUE
ADO	ENSG00000181915	10	ADO|84890	TRUE
ADPGK	ENSG00000159322	15	ADPGK|83440	TRUE
ADPRHL1	ENSG00000153531	13	ADPRHL1|113622	FALSE
ADPRHL2	ENSG00000116863	1	ADPRHL2|54936	TRUE
ADPRH	ENSG00000144843	3	ADPRH|141	FALSE
ADRA1A	ENSG00000120907	8	ADRA1A|148	FALSE
ADRA1B	ENSG00000170214	5	ADRA1B|147	FALSE
ADRA1D	ENSG00000171873	20	ADRA1D|146	FALSE
ADRA2A	ENSG00000150594	10	ADRA2A|150	FALSE
ADRA2B	ENSG00000274286	2	ADRA2B|151	FALSE
ADRA2C	ENSG00000184160	4	ADRA2C|152	FALSE
ADRB1	ENSG00000043591	10	ADRB1|153	FALSE
ADRB2	ENSG00000169252	5	ADRB2|154	FALSE
ADRB3	ENSG00000188778	8	ADRB3|155	FALSE
GRK2	ENSG00000173020	11	ADRBK1|156	TRUE
GRK3	ENSG00000100077	22	ADRBK2|157	TRUE
ADRM1	ENSG00000130706	20	ADRM1|11047	TRUE
ADSL	ENSG00000239900	22	ADSL|158	TRUE
ADSSL1	ENSG00000185100	14	ADSSL1|122622	FALSE
ADSS	ENSG00000035687	1	ADSS|159	TRUE
165	ENSG00000106624	7	AEBP1|165	TRUE
AEBP2	ENSG00000139154	12	AEBP2|121536	TRUE
AEN	ENSG00000181026	15	AEN|64782	TRUE
AES	ENSG00000104964	19	AES|166	TRUE
AFAP1L1	ENSG00000157510	5	AFAP1L1|134265	TRUE
AFAP1L2	ENSG00000169129	10	AFAP1L2|84632	TRUE
AFAP1	ENSG00000196526	4	AFAP1|60312	TRUE
AFF1	ENSG00000172493	4	AFF1|4299	TRUE
AFF2	ENSG00000155966	X	AFF2|2334	TRUE
AFF3	ENSG00000144218	2	AFF3|3899	TRUE
AFF4	ENSG00000072364	5	AFF4|27125	TRUE
AFG3L1P	ENSG00000223959	16	AFG3L1|172	TRUE
AFG3L2	ENSG00000141385	18	AFG3L2|10939	TRUE
AFMID	ENSG00000183077	17	AFMID|125061	TRUE
AFM	ENSG00000079557	4	AFM|173	FALSE
AFP	ENSG00000081051	4	AFP|174	FALSE
AFTPH	ENSG00000119844	2	AFTPH|54812	TRUE
C11orf96	ENSG00000187479	11	AG2|387763	TRUE
AGAP1	ENSG00000157985	2	AGAP1|116987	TRUE
AGAP2	ENSG00000135439	12	AGAP2|116986	TRUE
AGAP3	ENSG00000133612	7	AGAP3|116988	TRUE
AGAP5	ENSG00000172650	10	AGAP5|729092	FALSE
AGAP6	ENSG00000204149	10	AGAP6|414189	FALSE
AGA	ENSG00000038002	4	AGA|175	TRUE
AGBL2	ENSG00000165923	11	AGBL2|79841	FALSE
AGBL3	ENSG00000146856	7	AGBL3|340351	FALSE
AGBL4	ENSG00000186094	1	AGBL4|84871	FALSE
AGBL5	ENSG00000084693	2	AGBL5|60509	TRUE
AGFG1	ENSG00000173744	2	AGFG1|3267	TRUE
AGFG2	ENSG00000106351	7	AGFG2|3268	TRUE
AGGF1	ENSG00000164252	5	AGGF1|55109	TRUE
AGK	ENSG00000006530	7	AGK|55750	TRUE
AGMAT	ENSG00000116771	1	AGMAT|79814	FALSE
AGPAT2	ENSG00000169692	9	AGPAT2|10555	FALSE
AGPAT3	ENSG00000160216	21	AGPAT3|56894	TRUE
AGPAT4	ENSG00000026652	6	AGPAT4|56895	TRUE
AGPAT5	ENSG00000155189	8	AGPAT5|55326	TRUE
GPAT4	ENSG00000158669	8	AGPAT6|137964	TRUE
GPAT3	ENSG00000138678	4	AGPAT9|84803	FALSE
HYKK	ENSG00000188266	15	AGPHD1|123688	FALSE
AGPS	ENSG00000018510	2	AGPS|8540	TRUE
AGR2	ENSG00000106541	7	AGR2|10551	FALSE
AGR3	ENSG00000173467	7	AGR3|155465	FALSE
AGRN	ENSG00000188157	1	AGRN|375790	TRUE
AGRP	ENSG00000159723	16	AGRP|181	FALSE
AGTPBP1	ENSG00000135049	9	AGTPBP1|23287	TRUE
AGTR1	ENSG00000144891	3	AGTR1|185	FALSE
AGTR2	ENSG00000180772	X	AGTR2|186	FALSE
AGTRAP	ENSG00000177674	1	AGTRAP|57085	TRUE
AGT	ENSG00000135744	1	AGT|183	TRUE
ETNPPL	ENSG00000164089	4	AGXT2L1|64850	TRUE
PHYKPL	ENSG00000175309	5	AGXT2L2|85007	TRUE
AGXT2	ENSG00000113492	5	AGXT2|64902	FALSE
AGXT	ENSG00000172482	2	AGXT|189	FALSE
AHCTF1	ENSG00000153207	1	AHCTF1|25909	TRUE
AHCYL1	ENSG00000168710	1	AHCYL1|10768	TRUE
AHCYL2	ENSG00000158467	7	AHCYL2|23382	TRUE
AHCY	ENSG00000101444	20	AHCY|191	TRUE
AHDC1	ENSG00000126705	1	AHDC1|27245	TRUE
AHI1	ENSG00000135541	6	AHI1|54806	TRUE
AHNAK2	ENSG00000185567	14	AHNAK2|113146	TRUE
AHNAK	ENSG00000124942	11	AHNAK|79026	TRUE
AHRR	ENSG00000063438	5	AHRR|57491	FALSE
AHR	ENSG00000106546	7	AHR|196	TRUE
AHSA1	ENSG00000100591	14	AHSA1|10598	TRUE
AHSA2	ENSG00000173209	2	AHSA2|130872	TRUE
AHSG	ENSG00000145192	3	AHSG|197	FALSE
AHSP	ENSG00000169877	16	AHSP|51327	FALSE
AICDA	ENSG00000111732	12	AICDA|57379	FALSE
AIDA	ENSG00000186063	1	AIDA|64853	TRUE
AIF1L	ENSG00000126878	9	AIF1L|83543	TRUE
AIFM1	ENSG00000156709	X	AIFM1|9131	TRUE
AIFM2	ENSG00000042286	10	AIFM2|84883	FALSE
AIFM3	ENSG00000183773	22	AIFM3|150209	TRUE
AIG1	ENSG00000146416	6	AIG1|51390	TRUE
AIM1L	ENSG00000176092	1	AIM1L|55057	FALSE
AIM1	ENSG00000112297	6	AIM1|202	FALSE
AIM2	ENSG00000163568	1	AIM2|9447	FALSE
AIMP1	ENSG00000164022	4	AIMP1|9255	TRUE
AIMP2	ENSG00000106305	7	AIMP2|7965	TRUE
AIPL1	ENSG00000129221	17	AIPL1|23746	FALSE
AIP	ENSG00000110711	11	AIP|9049	TRUE
AIRE	ENSG00000160224	21	AIRE|326	FALSE
AJAP1	ENSG00000196581	1	AJAP1|55966	FALSE
AK1	ENSG00000106992	9	AK1|203	TRUE
AK2	ENSG00000004455	1	AK2|204	TRUE
AK4	ENSG00000162433	1	AK3L1|205	TRUE
AK3	ENSG00000147853	9	AK3|50808	TRUE
AK5	ENSG00000154027	1	AK5|26289	TRUE
AK7	ENSG00000140057	14	AK7|122481	FALSE
AKAP10	ENSG00000108599	17	AKAP10|11216	TRUE
